Strawberry	Orange	Lemon	Apple	Grape	Uncounted
10	15	11	7	18	0
5	12	17	15	10	0
16	11	15	11	9	0
15	8	13	16	7	0
11	14	20	8	7	1
10	11	11	17	11	0
9	17	6	17	14	0
14	12	13	11	12	0
11	11	14	10	17	0
12	6	18	11	12	1
16	7	5	22	10	0
14	9	13	16	10	0
15	7	11	11	17	0
20	2	8	22	7	0
15	11	7	11	15	0
16	13	15	8	12	0
10	13	15	11	14	0
12	10	9	8	20	0
9	17	10	15	11	0
9	11	16	12	14	0
13	10	12	17	8	0
10	14	9	13	14	0
9	12	20	13	8	0
15	11	12	15	8	0
19	8	8	14	14	0
12	14	13	15	9	0
12	9	11	13	13	0
13	9	15	13	11	0
12	10	12	16	9	0
12	9	13	12	13	0
9	9	11	17	18	0
13	9	13	10	15	0
15	10	11	11	18	0
18	11	9	20	6	0
9	10	15	11	16	0
13	10	9	12	14	0
5	22	14	10	8	0
12	13	9	10	16	0
14	9	9	11	18	0
11	18	8	8	17	1
8	13	11	15	15	0
14	13	12	10	10	0
12	9	14	8	16	0
16	15	13	3	11	0
13	12	14	9	14	0
8	13	16	11	12	0
15	9	15	7	16	1
16	10	17	12	6	0
9	12	11	10	18	0
14	8	19	7	13	0
13	12	15	8	13	0
22	10	12	9	7	0
6	15	16	13	13	0
18	14	11	6	12	0
11	13	15	10	14	1
15	10	10	9	18	0
9	11	24	6	10	0
10	11	13	8	16	0
11	12	15	8	17	0
13	14	12	11	10	1
13	12	10	8	18	0
14	15	12	4	17	0
14	14	11	10	12	0
11	5	19	12	14	0
12	9	14	6	18	0
12	9	17	6	15	0
12	15	17	9	7	0
4	16	16	9	14	0
13	12	11	4	21	0
14	14	10	11	12	0
10	17	8	10	14	0
12	12	14	7	18	0
12	15	12	11	10	0
13	9	9	17	12	0
9	12	8	16	13	0
8	10	11	13	17	0
7	16	11	15	10	0
11	12	18	11	9	0
9	14	12	12	13	0
6	11	12	12	15	1
12	9	9	13	15	0
9	15	11	15	9	0
7	13	10	13	16	0
6	15	15	13	11	0
